osm_id,code,fclass,population,name,X,Y
369503717,1004,hamlet,0,Phum Stoeng Veng,102.98350770000,11.58778960000
369503781,1002,town,0,ß×ƒßƒÆß×Üß×?ß×Çß×ÿß×ÄßƒÆß×îß×øß×ƒß×©ß×ÿß×Â,102.95393710000,11.56983030000
369503895,1002,town,0,ß×ƒßƒÆß×Üß×?ß×Çß×óß×äßƒÆß×éß×Üß×çßƒÉß×Ö,104.65456480000,10.83937570000
369503971,1003,village,0,Kirivung,102.94278110000,11.77321270000
369504002,1004,hamlet,0,Veang Kham,106.87156190000,14.26273180000
369504064,1003,village,0,Pu Chri,107.22428860000,12.67874760000
369504099,1003,village,0,Ton Hon,104.59081700000,10.53662390000
369504360,1003,village,0,ß×ùß×?ß×ÿß×Àß×øß×Ç,104.44190080000,10.44418960000
369504519,1003,village,0,Stung Tro,105.85897420000,12.36278240000
369504545,1003,village,0,Sre Pou,105.85717820000,12.53384900000
369504889,1003,village,0,Srei Mat,107.17829050000,13.31151660000
369504907,1003,village,0,ß×âß×?ßƒåß×æß×?ß×Çß×ÉßƒÆß×øß×Â,105.45092180000,11.38206850000
369504918,1003,village,0,Thman Koul,107.30177440000,13.31195930000
369504931,1002,town,0,ß×ƒßƒÆß×Üß×?ß×Çß×ûß×Âß×ÿß×Üß×Çßƒì,105.28088180000,11.31780450000
369505013,1002,town,0,ß×ƒßƒÆß×Üß×?ß×Çß×öß×Âß×ùßƒÆß×ôßƒå,105.39892670000,11.25804670000
369505034,1002,town,0,ß×ƒßƒÆß×Üß×?ß×ÇÔÇïß×Çßƒåß×ûß×äßƒïß×ÅßƒÆß×Üß×ößƒéß×Ç,105.47807830000,11.14015520000
369505042,1003,village,0,,107.42231610000,13.06980430000
369505068,1002,town,0,ß×ƒßƒÆß×Üß×?ß×Çß×ÿßƒüß×ƒß×Âß×ä,105.57664070000,11.32470440000
369505087,1003,village,0,ß×âß×?ßƒåß×éßƒäß×üßƒÆß×àß×Ç,105.54950470000,11.19238930000
369505127,1003,village,0,ß×ÇßƒÆß×Üß×àß×Âß×ößƒï,105.45804120000,11.02109440000
369505153,1002,town,0,ß×ƒßƒÆß×Üß×?ß×Çß×ûßƒÆß×Üßƒçß×ƒßƒÆß×èßƒüß×à,105.37699650000,11.11876560000
