"","V1","V2","V3","V4","F1","F2","theta_V1","theta_V2","theta_V3","theta_V4","theta_F1","theta_F2"
"909",0.2,0.1,0.1,0.4,3,3,0.0232372718311308,0.0233868708062536,0.0204074860205946,0.0511366389650156,0.348984256455416,0.16329729302724
"910",0.3,0.1,0.1,0.4,3,3,0.0261024884061968,0.0234133764162551,0.020432336158634,0.0511493381391578,0.349192661463765,0.163560079356198
"911",0.4,0.1,0.1,0.4,3,3,0.0296894993936313,0.0234466370864802,0.0204635253725144,0.0511652810084564,0.349454503357437,0.163890191166206
"912",0.5,0.1,0.1,0.4,3,3,0.0342638539055438,0.0234891794445581,0.020503427821245,0.0511856846452724,0.349789941038778,0.164312997885801
"913",0,0.2,0.1,0.4,3,3,0.019006500892378,0.0259367349662535,0.0204635690607887,0.0511249269292368,0.348792179425018,0.163890653804778
"914",0.1,0.2,0.1,0.4,3,3,0.0209322762700341,0.0259561294811531,0.0204801402603893,0.0511334091549903,0.348931275389875,0.164066178180063
"915",0.2,0.2,0.1,0.4,3,3,0.0232638393346413,0.0259796466279984,0.0205002366808364,0.0511436976366362,0.349100077820836,0.16427916501789
"916",0.3,0.2,0.1,0.4,3,3,0.0261320243075502,0.0260086306193125,0.020525008877597,0.0511563826460771,0.349308330620547,0.164541892369557
"917",0.4,0.2,0.1,0.4,3,3,0.0297225763551551,0.0260449992105808,0.0205560990231525,0.0511723071321087,0.349569971217189,0.16487191637756
"918",0.5,0.2,0.1,0.4,3,3,0.0343011316805158,0.0260915130688217,0.0205958724232885,0.0511926861215601,0.349905132262333,0.16529458532542
"919",0,0.3,0.1,0.4,3,3,0.0190332615571141,0.0291117833986204,0.0205767501459757,0.0511335460668116,0.348933521058449,0.165091308189251
"920",0.1,0.3,0.1,0.4,3,3,0.0209616051435075,0.0291330980036927,0.0205932555892979,0.0511420169658618,0.349072496670018,0.165266760151501
"921",0.2,0.3,0.1,0.4,3,3,0.0232962055272058,0.02915894238122,0.0206132717999324,0.0511522914865747,0.349241149298949,0.165479653900953
"922",0.3,0.3,0.1,0.4,3,3,0.0261680045911523,0.0291907929225093,0.0206379443024906,0.0511649588855221,0.34944921060749,0.165742257256409
"923",0.4,0.3,0.1,0.4,3,3,0.029762867058718,0.0292307555305817,0.0206689078378043,0.0511808605365688,0.349710598427023,0.166072108969602
"924",0.5,0.3,0.1,0.4,3,3,0.034346534429828,0.0292818608729858,0.0207085165072949,0.051201208946271,0.350045412921288,0.166494526713734
"925",0,0.4,0.1,0.4,3,3,0.0190663453266125,0.0330682701098825,0.0207167318337482,0.051144193191023,0.34910821071087,0.16658220752351
"926",0.1,0.4,0.1,0.4,3,3,0.0209978622249321,0.0330917903104074,0.0207331507856944,0.0511526496976509,0.349247030894965,0.166757512488319
"927",0.2,0.4,0.1,0.4,3,3,0.0233362149934551,0.0331203076012801,0.0207530615505218,0.0511629064894594,0.349415490314073,0.166970221539776
"928",0.3,0.4,0.1,0.4,3,3,0.0262124781158099,0.0331554498891904,0.0207776030893527,0.0511755515432219,0.349623305066799,0.16723258592237
"929",0.4,0.4,0.1,0.4,3,3,0.0298126633142594,0.0331995386033167,0.0208084004702084,0.0511914242522304,0.349884368163701,0.167562117322095
"930",0.5,0.4,0.1,0.4,3,3,0.0344026409865963,0.0332559134101868,0.0208477932592349,0.0512117339617315,0.350218738783462,0.167984087611975
"931",0,0.5,0.1,0.4,3,3,0.0191078414010427,0.0380795546970299,0.0208923972905654,0.0511575342129397,0.349327243243509,0.1684625154856
"932",0.1,0.5,0.1,0.4,3,3,0.0210433356875474,0.03810555837429,0.0209086991619435,0.0511659720257264,0.349465857542398,0.168637539947435
"933",0.2,0.5,0.1,0.4,3,3,0.0233863907319543,0.0381370847965303,0.0209284672788516,0.0511762058073685,0.349634061422256,0.168849900930678
"934",0.3,0.5,0.1,0.4,3,3,0.0262682465300046,0.0381759319918098,0.0209528317993973,0.0511888218890201,0.349841550753328,0.169111822342772
"935",0.4,0.5,0.1,0.4,3,3,0.0298750978806547,0.0382246631681656,0.0209834048636953,0.0512046571243094,0.350102186433667,0.169440772655683
"936",0.5,0.5,0.1,0.4,3,3,0.034472974798953,0.0382869641867326,0.0210225066804423,0.0512249168183112,0.350435974886248,0.169861953065597
"937",0,0,0.2,0.4,3,3,0.0189856783948059,0.0212848428154987,0.0225740280791037,0.0511182160736001,0.348682176973504,0.162959682479387
"938",0.1,0,0.2,0.4,3,3,0.0209094579026458,0.0213011047731756,0.0225923098283561,0.0511267078919459,0.348821379241153,0.163135369900449
"939",0.2,0,0.2,0.4,3,3,0.0232386611081966,0.0213208242226766,0.0226144807811491,0.0511370081799911,0.348990313565848,0.163348558617412
"940",0.3,0,0.2,0.4,3,3,0.0261040389515535,0.0213451289006407,0.0226418104318794,0.0511497080520908,0.349198734238383,0.163611542086425
"941",0.4,0,0.2,0.4,3,3,0.0296912443340981,0.0213756280122564,0.0226761108504665,0.0511656517578536,0.349460595170263,0.163941900617371
"942",0.5,0,0.2,0.4,3,3,0.0342658327197277,0.0214146386280418,0.0227199923365771,0.0511860563916497,0.349796056053254,0.164365021655872
"943",0,0.1,0.2,0.4,3,3,0.0190039619437457,0.023435235413823,0.02265899235609,0.0511241088563541,0.348778767645714,0.163776985347525
"944",0.1,0.1,0.2,0.4,3,3,0.0209294971718281,0.0234529267740409,0.0226772274487791,0.0511325931922721,0.348917892004795,0.163952660529654
"945",0.2,0.1,0.2,0.4,3,3,0.0232607771277879,0.0234743790094583,0.0226993414603795,0.0511428842509523,0.349086729200451,0.164165830762596
"946",0.3,0.1,0.2,0.4,3,3,0.0261286265975541,0.0235008185054075,0.02272660028745,0.0511555724696893,0.349295025444334,0.164428785060364
"947",0.4,0.1,0.2,0.4,3,3,0.0297187806317125,0.0235339950017373,0.0227608106736603,0.0511715010441164,0.349556721650098,0.164759095478545
"948",0.5,0.1,0.2,0.4,3,3,0.0342968673701932,0.0235764274633524,0.0228045748614368,0.0511918853785248,0.349891955864727,0.165182133732319
"949",0,0.2,0.2,0.4,3,3,0.0190259289307321,0.0260328747806603,0.0227610957944759,0.0511311849748135,0.348894795878374,0.164761849796131
"950",0.1,0.2,0.2,0.4,3,3,0.0209535729069256,0.0260522200153432,0.0227792726571224,0.0511396601718601,0.34903382408269,0.164937488557119
"951",0.2,0.2,0.2,0.4,3,3,0.0232873469606148,0.0260756769911228,0.0228013156273799,0.0511499399621575,0.349202541500324,0.165150610269766
"952",0.3,0.2,0.2,0.4,3,3,0.0261581643965097,0.0261045860937427,0.0228284861358689,0.051162613959898,0.349410684470644,0.165413497127513
"953",0.4,0.2,0.2,0.4,3,3,0.0297518586332287,0.0261408594016988,0.0228625843243042,0.0511785240827511,0.349672178069807,0.165743709157741
"954",0.5,0.2,0.2,0.4,3,3,0.0343341446010953,0.0261872489702188,0.0229062024694887,0.0511988836859021,0.350007134017479,0.166166596155026
